case,label,frame,strain,anomaly_score_mean,anomaly_fraction
4k_1e9,"Ti 4k, 1e9 s^-1",0,0.0,-0.0904691012285587,0.015
4k_1e9,"Ti 4k, 1e9 s^-1",1,0.009999999776482582,-0.11149130647584503,0.004
4k_1e9,"Ti 4k, 1e9 s^-1",2,0.019999999552965164,-0.12184534213787611,0.002
4k_1e9,"Ti 4k, 1e9 s^-1",3,0.029999997466802597,-0.12891188226941128,0.003
4k_1e9,"Ti 4k, 1e9 s^-1",4,0.03999999910593033,-0.13105896163615147,0.002
4k_1e9,"Ti 4k, 1e9 s^-1",5,0.05000000819563866,-0.1286913406688289,0.001
4k_1e9,"Ti 4k, 1e9 s^-1",6,0.059999994933605194,-0.12735912313674805,0.002
4k_1e9,"Ti 4k, 1e9 s^-1",7,0.07000000029802322,-0.1185617075042746,0.005
4k_1e9,"Ti 4k, 1e9 s^-1",8,0.07999999821186066,-0.10917594580589746,0.011
4k_1e9,"Ti 4k, 1e9 s^-1",9,0.09000001847743988,-0.08720551005875302,0.04
4k_1e9,"Ti 4k, 1e9 s^-1",10,0.10000001639127731,-0.061299992617516785,0.115
4k_1e9,"Ti 4k, 1e9 s^-1",11,0.10500001162290573,-0.040801454295017324,0.229
4k_1e9,"Ti 4k, 1e9 s^-1",12,0.11000000685453415,-0.023706881776973988,0.313
4k_1e9,"Ti 4k, 1e9 s^-1",13,0.11500000208616257,-0.0025582111466594705,0.468
4k_1e9,"Ti 4k, 1e9 s^-1",14,0.11999998986721039,0.012083576580484937,0.61
4k_1e9,"Ti 4k, 1e9 s^-1",15,0.12199998646974564,0.01841203941256963,0.681
4k_1e9,"Ti 4k, 1e9 s^-1",16,0.12399998307228088,0.023508655757915393,0.719
4k_1e9,"Ti 4k, 1e9 s^-1",17,0.12600001692771912,0.030454782311902993,0.781
4k_1e9,"Ti 4k, 1e9 s^-1",18,0.12800002098083496,0.03808120176239123,0.835
4k_1e9,"Ti 4k, 1e9 s^-1",19,0.12999999523162842,0.041808796430255965,0.871
4k_1e9,"Ti 4k, 1e9 s^-1",20,0.13199998438358307,0.04482988021237237,0.888
4k_1e9,"Ti 4k, 1e9 s^-1",21,0.1340000331401825,0.05256966101609219,0.931
4k_1e9,"Ti 4k, 1e9 s^-1",22,0.13600002229213715,0.05450796853673718,0.941
4k_1e9,"Ti 4k, 1e9 s^-1",23,0.1379999965429306,0.05741904962641662,0.956
4k_1e9,"Ti 4k, 1e9 s^-1",24,0.14000000059604645,0.0622383582235637,0.976
4k_1e9,"Ti 4k, 1e9 s^-1",25,0.1419999897480011,0.06525332477298508,0.981
4k_1e9,"Ti 4k, 1e9 s^-1",26,0.14400002360343933,0.06755147429789438,0.986
4k_1e9,"Ti 4k, 1e9 s^-1",27,0.1459999978542328,0.07059390724624592,0.992
4k_1e9,"Ti 4k, 1e9 s^-1",28,0.14800000190734863,0.07440255105919676,0.996
4k_1e9,"Ti 4k, 1e9 s^-1",29,0.15000000596046448,0.07801829668935374,0.994
4k_1e9,"Ti 4k, 1e9 s^-1",30,0.15199996531009674,0.07890509308712527,1.0
4k_1e9,"Ti 4k, 1e9 s^-1",31,0.15399999916553497,0.08340401407601769,0.997
4k_1e9,"Ti 4k, 1e9 s^-1",32,0.15599998831748962,0.08458231029342124,0.997
4k_1e9,"Ti 4k, 1e9 s^-1",33,0.15800000727176666,0.08120461879805081,0.872
4k_1e9,"Ti 4k, 1e9 s^-1",34,0.1599999964237213,0.020151191204756794,0.581
4k_1e9,"Ti 4k, 1e9 s^-1",35,0.16199997067451477,0.007050680931119059,0.531
4k_1e9,"Ti 4k, 1e9 s^-1",36,0.1640000194311142,-0.002166951603582424,0.487
4k_1e9,"Ti 4k, 1e9 s^-1",37,0.16599996387958527,-0.007904166587181644,0.466
4k_1e9,"Ti 4k, 1e9 s^-1",38,0.1679999977350235,-0.012611938993091758,0.45
4k_1e9,"Ti 4k, 1e9 s^-1",39,0.17000000178813934,-0.019401971842576603,0.418
4k_1e9,"Ti 4k, 1e9 s^-1",40,0.1720000058412552,-0.018018231588817386,0.424
4k_1e9,"Ti 4k, 1e9 s^-1",41,0.17399999499320984,-0.024882219913474717,0.399
4k_1e9,"Ti 4k, 1e9 s^-1",42,0.17600002884864807,-0.030843260841323657,0.39
4k_1e9,"Ti 4k, 1e9 s^-1",43,0.17799998819828033,-0.0292283999835426,0.394
4k_1e9,"Ti 4k, 1e9 s^-1",44,0.18000003695487976,-0.026233872263323455,0.391
4k_1e9,"Ti 4k, 1e9 s^-1",45,0.1900000274181366,-0.03205843649670008,0.379
4k_1e9,"Ti 4k, 1e9 s^-1",46,0.20000003278255463,-0.02712863591272019,0.399
4k_1e9,"Ti 4k, 1e9 s^-1",47,0.21000002324581146,-0.015274654725680728,0.438
4k_1e9,"Ti 4k, 1e9 s^-1",48,0.2200000137090683,-0.012987455524712654,0.45
4k_1e9,"Ti 4k, 1e9 s^-1",49,0.23000000417232513,-0.03677929329499031,0.352
4k_1e9,"Ti 4k, 1e9 s^-1",50,0.23999997973442078,-0.059656325104197605,0.249
4k_1e9,"Ti 4k, 1e9 s^-1",51,0.25,-0.06579937602699401,0.233
32k_1e9,"Ti 32k, 1e9 s^-1",0,0.0,-0.09191277518238081,0.012
32k_1e9,"Ti 32k, 1e9 s^-1",1,0.009999999776482582,-0.1106630351484904,0.002
32k_1e9,"Ti 32k, 1e9 s^-1",2,0.019999999552965164,-0.12040481923505998,0.0
32k_1e9,"Ti 32k, 1e9 s^-1",3,0.029999997466802597,-0.12817244360608754,0.001
32k_1e9,"Ti 32k, 1e9 s^-1",4,0.03999999910593033,-0.13225167917620426,0.001
32k_1e9,"Ti 32k, 1e9 s^-1",5,0.05000000819563866,-0.1308500170398188,0.0
32k_1e9,"Ti 32k, 1e9 s^-1",6,0.059999994933605194,-0.12815153386042272,0.002
32k_1e9,"Ti 32k, 1e9 s^-1",7,0.07000000029802322,-0.12105483586013947,0.007
32k_1e9,"Ti 32k, 1e9 s^-1",8,0.07999999821186066,-0.1071620139317966,0.011
32k_1e9,"Ti 32k, 1e9 s^-1",9,0.09000001847743988,-0.08872868418283804,0.044
32k_1e9,"Ti 32k, 1e9 s^-1",10,0.10000001639127731,-0.05882899900295164,0.14
32k_1e9,"Ti 32k, 1e9 s^-1",11,0.10500001162290573,-0.0418980357214782,0.201
32k_1e9,"Ti 32k, 1e9 s^-1",12,0.11000000685453415,-0.022037379320746946,0.345
32k_1e9,"Ti 32k, 1e9 s^-1",13,0.11500000208616257,-0.004249537070828307,0.472
32k_1e9,"Ti 32k, 1e9 s^-1",14,0.11999998986721039,0.015806428495970224,0.646
32k_1e9,"Ti 32k, 1e9 s^-1",15,0.12199998646974564,0.019132962794381647,0.688
