case,label,frame,strain,mds1,mds2
4k_1e9,"Ti 4k, 1e9 s^-1",0,0.0,0.02104531979456984,-0.035483040038493355
4k_1e9,"Ti 4k, 1e9 s^-1",1,0.01,0.016224290850780775,-0.03463344904234711
4k_1e9,"Ti 4k, 1e9 s^-1",2,0.0200000000000001,0.012607127324897173,-0.032803588849289106
4k_1e9,"Ti 4k, 1e9 s^-1",3,0.03,0.009913457298462006,-0.030199180445786213
4k_1e9,"Ti 4k, 1e9 s^-1",4,0.04,0.005676451542759725,-0.028113740720589524
4k_1e9,"Ti 4k, 1e9 s^-1",5,0.0500000000000001,0.0027470000444408064,-0.024410684869175477
4k_1e9,"Ti 4k, 1e9 s^-1",6,0.06,-3.3174186371304326e-05,-0.021160647132107125
4k_1e9,"Ti 4k, 1e9 s^-1",7,0.0700000000000001,-0.002031651854078663,-0.01650942617297955
4k_1e9,"Ti 4k, 1e9 s^-1",8,0.0800000000000001,-0.004465991814031596,-0.012083780434806813
4k_1e9,"Ti 4k, 1e9 s^-1",9,0.09,-0.0073225070859943495,-0.00749973668644055
4k_1e9,"Ti 4k, 1e9 s^-1",10,0.1000000000000001,-0.008992327732301542,-0.001823146083815761
4k_1e9,"Ti 4k, 1e9 s^-1",11,0.105,-0.009689756030606896,0.0018171013762617611
4k_1e9,"Ti 4k, 1e9 s^-1",12,0.11,-0.0111671400658998,0.0038394196540909096
4k_1e9,"Ti 4k, 1e9 s^-1",13,0.1150000000000001,-0.011947326581451978,0.007296589832464684
4k_1e9,"Ti 4k, 1e9 s^-1",14,0.12,-0.012370074892843416,0.010624852345323
4k_1e9,"Ti 4k, 1e9 s^-1",15,0.122,-0.012266960484108557,0.012092956392126101
4k_1e9,"Ti 4k, 1e9 s^-1",16,0.124,-0.01301024206680227,0.012886157412011563
4k_1e9,"Ti 4k, 1e9 s^-1",17,0.1260000000000001,-0.012885577858196313,0.014412539664517299
4k_1e9,"Ti 4k, 1e9 s^-1",18,0.128,-0.014391726812401681,0.015345929997467336
4k_1e9,"Ti 4k, 1e9 s^-1",19,0.1300000000000001,-0.0127897666962648,0.01770224260342833
4k_1e9,"Ti 4k, 1e9 s^-1",20,0.132,-0.014080780046827482,0.018474289109777366
4k_1e9,"Ti 4k, 1e9 s^-1",21,0.1340000000000001,-0.014423303289476592,0.01983755123796443
4k_1e9,"Ti 4k, 1e9 s^-1",22,0.136,-0.014158782526186674,0.021441306763591565
4k_1e9,"Ti 4k, 1e9 s^-1",23,0.1380000000000001,-0.014743647753786074,0.02285099597810028
4k_1e9,"Ti 4k, 1e9 s^-1",24,0.14,-0.014991657474243298,0.02446468973963343
4k_1e9,"Ti 4k, 1e9 s^-1",25,0.1420000000000001,-0.014920088115449478,0.025363999035374386
4k_1e9,"Ti 4k, 1e9 s^-1",26,0.144,-0.015118334694352678,0.027218381437554836
4k_1e9,"Ti 4k, 1e9 s^-1",27,0.1460000000000001,-0.01587213029943111,0.028256629302179505
4k_1e9,"Ti 4k, 1e9 s^-1",28,0.1480000000000002,-0.01517235530902716,0.030770555434953852
4k_1e9,"Ti 4k, 1e9 s^-1",29,0.1500000000000001,-0.015936108632441322,0.0319920875360229
4k_1e9,"Ti 4k, 1e9 s^-1",30,0.152,-0.016842821533160766,0.0326163797826265
