step,time_ps,temp_K,press_bar,pxx_bar,pyy_bar,pzz_bar,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,pe_eV_atom
0,0,300,705.98990055389,-401.520163841599,-398.334427819875,2917.82429332314,102.190997646564,59,93.6,564339.565403385,4.50829867196779,-4.87263950503365
1000,1,295.122042013977,243.814228592156,-1134.5554177051,-1096.48463936526,2962.48274284683,102.424695933548,59.1349257688995,93.8140517282873,568220.152576403,4.47750982028901,-4.83449613567679
2000,2,298.418871260723,150.903755572578,-1204.29865306063,-1186.40339360177,2843.41331338013,102.441088467197,59.1443900026142,93.8290661736377,568493.018179165,4.47536070257442,-4.83303297968819
3000,3,302.353734244846,34.5270123700136,-1247.21021489132,-1430.64931937061,2781.44057137197,102.440136355904,59.1438403009029,93.8281941044824,568477.167207648,4.47548549002257,-4.8338169403378
4000,4,300.940177713642,-59.5630968816048,-1369.46352146498,-1433.02469128476,2623.79892210492,102.441537437633,59.1446492158161,93.8294774000056,568500.492846234,4.47530186035408,-4.83394414784114
5000,5,299.2080270683,-26.3852527202713,-1358.29528550779,-1393.95377903148,2673.09330637846,102.445353606648,59.1468524820241,93.8329727511428,568564.028834845,4.47480175356995,-4.83297615608459
6000,6,298.753374126724,-177.133241995517,-1620.19139961893,-1407.56285205219,2496.35452568457,102.4452367885,59.1467850370351,93.8328657536688,568562.083841186,4.47481706141633,-4.83376074575421
7000,7,302.22066867904,-299.782359786874,-1663.76603951811,-1610.32862940519,2374.74758956268,102.452942282165,59.1512338058764,93.8399234615256,568690.387934314,4.4738074833451,-4.83334764914559
8000,8,296.604330082831,-106.512525685611,-1449.46684128861,-1500.93590904252,2630.86517327429,102.443963069037,59.1460496547602,93.831699113314,568540.877010758,4.47498397410538,-4.83361492815651
9000,9,302.461203405122,262.473959871837,-1069.39800239091,-1149.69693054019,3006.51681254661,102.435058178765,59.1409084139649,93.8235428397811,568392.629503392,4.47615113424299,-4.83339446898091
10000,10,300.702399553933,208.118371980558,-1114.52529554489,-1109.94661098436,2848.82702247093,102.434050700097,59.1403267458845,93.8226200578779,568375.858746561,4.47628320959604,-4.83385849281616
11000,11,301.625468894918,149.226391052868,-1166.57772406552,-1187.69796592949,2801.95486315361,102.438183376691,59.1427127478281,93.826405308419,568444.654474913,4.47574146967239,-4.83358914121862
12000,12,299.697666788287,119.002581277087,-1202.58514152019,-1306.41635238774,2866.00923773919,102.439231826767,59.1433180707614,93.8273656173435,568462.108667907,4.47560404546379,-4.83345473929518
13000,13,299.077701775391,115.611632445031,-1250.50593532497,-1242.75928223633,2840.1001148964,102.438709449825,59.1430164762934,93.8268871556118,568453.412293144,4.47567251462807,-4.83350899432038
14000,14,301.417005901026,26.8186267980816,-1327.67614997423,-1300.28097186405,2708.41300223253,102.442630925696,59.1452805414429,93.8304789606623,568518.698014383,4.47515855174669,-4.83346028008924
15000,15,299.463958803432,-354.777959407948,-1623.35269108735,-1783.03529681143,2342.05410967493,102.452807692957,59.151156100761,93.8398001869702,568688.146725237,4.47382511469191,-4.83365053470777
16000,16,299.474043836832,-374.359560505892,-1730.23781369852,-1740.24035472902,2347.39948690987,102.456285537825,59.1531640354319,93.8429856562105,568746.062452574,4.47336954259638,-4.83318576825601
17000,17,296.087300393969,-113.735411004223,-1452.79116752584,-1467.85175460038,2579.43668911355,102.447029987123,59.1478203407424,93.8345082015845,568591.940649288,4.47458208841594,-4.83333979860696
18000,18,301.219341479608,-76.8381926490113,-1495.44563460764,-1348.15839434253,2613.08945100314,102.446694505904,59.1476266505699,93.8342009236163,568586.354797957,4.47462604717454,-4.83335061787242
19000,19,300.737566322349,34.7281860744958,-1336.74520821034,-1203.08391540155,2644.01368183537,102.440276705753,59.1439213319243,93.8283226553928,568479.503766227,4.47546709492838,-4.83385706541912
20000,20,301.502104030795,217.122586783208,-1148.79234111961,-1144.34893900064,2944.50904046987,102.435581182598,59.1412103703669,93.8240218757019,568401.335693815,4.47608257313714,-4.83350730371247
21000,21,296.725342926431,473.322594462711,-830.593132602078,-934.419011628229,3184.97992761844,102.429599321155,59.1377567410526,93.8185428976713,568301.76386207,4.47686682504202,-4.83315330879952
22000,22,297.57924758591,504.428505709715,-803.290823764092,-904.723807958379,3221.30014885162,102.426015287681,59.1356874983619,93.8152601668945,568242.110950493,4.47733679749866,-4.83345696419891
23000,23,301.040427727348,204.296935620904,-1141.42695785056,-1198.53801211763,2952.8557768309,102.437127302183,59.1421030229261,93.8254380160333,568427.073714493,4.47587989893116,-4.83333573007072
24000,24,298.27983385819,-88.8976368091973,-1421.65616647693,-1463.96582806902,2618.92908411836,102.446122887713,59.1472966266534,93.8336773602521,568576.837287664,4.4747009487475,-4.83329182222604
25000,25,301.152449771182,-263.940247854303,-1658.15567394354,-1558.05088929883,2424.38581967946,102.449893272035,59.1494734590564,93.8371307757252,568639.616591493,4.47420693003651,-4.83366028530882
26000,26,298.167100254939,-263.35040410659,-1628.40802195998,-1548.81546710137,2387.17227674158,102.449683051973,59.1493520884474,93.8369382284537,568636.116171746,4.47423447243462,-4.83350500796549
27000,27,300.875180529275,-297.231364633257,-1687.48988025302,-1583.7531523227,2379.54893867595,102.452446591591,59.1509476187896,93.8394694426911,568682.133614974,4.47387241985963,-4.83323047666621
28000,28,298.198021468846,-131.08515670989,-1528.0908060104,-1403.750810921,2538.58614680173,102.445599150613,59.1469942468979,93.833197652708,568568.117096418,4.47476957772416,-4.83351388580398
29000,29,300.500026126456,240.336277995392,-1105.72622813061,-1151.28302248576,2978.01808460254,102.437688126329,59.1424268148974,93.8259516927885,568436.409861896,4.47580638591586,-4.83296036121626
30000,30,300.123092934242,250.627476915704,-1049.21228241989,-1161.2200337734,2962.31474694041,102.433623921332,59.1400803450483,93.8222291575701,568368.754573624,4.47633915969847,-4.83358144830716
31000,31,299.272271141146,314.553151073468,-951.044550027658,-1116.27459070732,3010.97859395538,102.431104551526,59.138625786213,93.8199215862652,568326.818269734,4.47666946457461,-4.83375387799864
32000,32,301.746842289799,272.245182945431,-1014.04243717226,-1109.47582677017,2940.25381277872,102.433557239043,59.1400418460109,93.8221680811309,568367.644583461,4.47634790173803,-4.83363991749554
33000,33,297.923040045089,185.508622826477,-1198.83141128699,-1112.41155765931,2867.76883742572,102.435922049061,59.1414071697118,93.8243340861887,568407.009979914,4.47603788935831,-4.83357709093605
34000,34,299.747988988439,-241.613532676961,-1664.95869835405,-1501.17179867401,2441.28989899718,102.451845205985,59.1506004086482,93.8389186143999,568672.119352167,4.47395120433429,-4.83329777150209
35000,35,300.720086682757,-259.411531049149,-1656.60736617606,-1589.67068035418,2468.0434533828,102.45010304337,59.1495945705936,93.8373229119951,568643.109553732,4.47417944665441,-4.83376497892375
36000,36,297.876301897609,-220.649942269071,-1672.70612005325,-1529.78290524601,2540.53919849205,102.448418526945,59.1486220145827,93.8357800095777,568615.060594894,4.47440015145777,-4.83360117832379
37000,37,298.247330108871,-178.716259195453,-1502.29320022006,-1575.16894809418,2541.31337072789,102.446137777971,59.1473052235484,93.8336909987165,568577.085210881,4.47469899759209,-4.83372981954099
38000,38,298.572940289241,-14.8152831952152,-1328.08123021576,-1400.45830289688,2684.09368352699,102.443129446173,59.1455683623757,93.8309355715002,568526.997867397,4.47509321947869,-4.83349864768486
39000,39,302.013656142639,411.501334868986,-882.796357529003,-1025.61676883576,3142.91713097172,102.432666947695,59.1395278360632,93.8213526348417,568352.824975198,4.47646462100015,-4.83305174322463
40000,40,300.149760114469,456.376351909616,-916.239409522565,-907.143174093213,3192.51163934463,102.426103395787,59.1357383676023,93.8153408679278,568243.577378151,4.47732524313928,-4.83382130212958
41000,41,302.096027232038,277.853280941112,-1002.82154590906,-1182.23708812116,3018.61847685356,102.433606232573,59.1400701324405,93.8222129558743,568368.460127299,4.47634147868994,-4.83362945667266
42000,42,298.930696101145,140.586786450397,-1261.00283675541,-1179.14374570799,2861.9069418146,102.440488912543,59.1440438495738,93.8285170223776,568483.036618724,4.47543928202266,-4.83309226463711
43000,43,300.03206137719,-140.825517065708,-1645.76256447981,-1389.01551323738,2612.30152652006,102.447429663597,59.1480510940635,93.8348742780424,568598.595416437,4.47452971877921,-4.83350428549705
44000,44,302.331544581787,-704.22570464256,-2081.50062550475,-2025.54036292101,1994.36387449809,102.464700327421,59.1580223164716,93.8506930308799,568886.208218243,4.47226752291193,-4.8336228597782
45000,45,298.203520770435,-594.012134895919,-1955.61842147902,-1998.36651144651,2171.94852823777,102.459540106865,59.1550430617449,93.8459666199918,568800.263581896,4.47294327401563,-4.83380524940216
46000,46,300.555308476968,-204.288725869567,-1522.19042084822,-1574.19885031322,2483.52309355273,102.448218289697,59.1485064075545,93.8355966058863,568611.726496817,4.47442638744314,-4.83367788887702
47000,47,301.11343892261,-100.675316806969,-1367.39426440496,-1525.76195120417,2591.13026518822,102.44494844726,59.1466185631431,93.8326016527188,568557.283048913,4.47485484594185,-4.83359838285359
48000,48,299.707125295061,62.3842425339511,-1292.01222659981,-1273.82862404169,2752.99357824336,102.438768944396,59.1430508255014,93.8269416485962,568454.402736506,4.47566471646499,-4.83361031790266
49000,49,301.08823615337,294.587599223178,-1098.60400991298,-1045.26295231364,3027.62975989616,102.432044213895,59.1391683005358,93.8207822530579,568342.459228416,4.47654626525879,-4.83361994203858
