step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,sigma_zz_smooth_GPa
0,0.0,-1.61550466509817e-15,0.280827395696267,-0.136276184196756,-0.133633994164248,301.270029392463,-4.83347004418283,153.662804738523,88.7172616802227,140.744672767265,1918707.83990381,4.47525829812054,0.3425540961194508
100,0.1,9.99999999982966e-05,0.445803359456524,0.128032941228366,0.116266498037689,301.927276606643,-4.83371374481024,153.50149135358,88.6276244640912,140.730598299989,1914565.55875375,4.48494079658877,0.3581635950309064
200,0.2,0.0001999999999982,0.318944814816718,-0.106910156583386,-0.0849787974556992,299.681201374736,-4.83358683392235,153.659878437647,88.7021198553235,140.716523832712,1917960.16257475,4.47700288554028,0.3736082281193286
300,0.3,0.0002999999999985,0.436166387437391,0.0815282699394128,0.0695704746424895,299.93136156186,-4.83364282504419,153.540219098209,88.6515912982827,140.702449365435,1915183.3142592,4.48349414819325,0.3888942555788143
400,0.4,0.0003999999999984,0.367994395218766,-0.0604930595530745,-0.056454920040016,298.951210952229,-4.83357081449176,153.630590229049,88.7027668498588,140.688374898158,1917224.97995931,4.47871964529729,0.40402793760346034
500,0.5,0.0004999999999983,0.453396331172824,0.0529660149764458,0.0492956702931982,300.077059301779,-4.83370030023496,153.565396555689,88.664001749397,140.674300430882,1915382.25004889,4.483028482685,0.4190155343873637
600,0.6,0.0005999999999982,0.412879597120841,-0.0452642299713705,-0.0395223282898141,300.314742654867,-4.83362301805608,153.634381030105,88.6976216238016,140.660225963605,1916777.48955916,4.47976524608151,0.4338633061246212
700,0.7,0.0006999999999985,0.473665910582492,0.039642238440707,0.0312335238092666,301.110863039364,-4.83357851363961,153.590324405001,88.6735458865946,140.646151496328,1915516.00987637,4.48271543434014,0.4485775130093298
800,0.8,0.0007999999999984,0.444616550192786,-0.0328333143345628,-0.027507699853062,300.52671103899,-4.83355065257151,153.640847824907,88.6978010020499,140.632077029051,1916478.44476266,4.48046426280671,0.4631644152355863
900,0.9,0.0008999999999984,0.494242575418271,0.0284436665252613,0.0221328954293117,299.698259875605,-4.83368996706131,153.603920904115,88.6808496138281,140.618002561775,1915459.93106435,4.48284667454629,0.4776302729974876
1000,1.0,0.0009999999999983,0.480109205902028,-0.0240287555777775,-0.0227626436666073,300.797611947738,-4.8338637256061,153.637110432802,88.6997585216866,140.603928094498,1916090.51850829,4.48137136489949,0.49198134648913067
1100,1.1,0.0010999999999982,0.516375648975974,0.0193026435387316,0.0138027329209158,299.955527647397,-4.8337034229999,153.615878108047,88.6915763544889,140.589853627221,1915457.23558679,4.4828529829161,0.5062238959046123
1200,1.2,0.0011999999999985,0.509504945096018,-0.0134559749894276,-0.0125106954954489,300.247428390936,-4.83360782620937,153.644562013863,88.7033217556027,140.575779159944,1915876.79208251,4.48187128613052,0.5203641814380294
1300,1.3,0.0012999999999984,0.539141394272714,0.006925043784268,0.0099458066280802,301.06974925825,-4.83356925991961,153.635326733086,88.6992772173705,140.561704692668,1915482.48327415,4.48279389510319,0.5344084632834789
1400,1.4,0.0013999999999983,0.545559546615239,-0.0021741425797751,-0.0123503262455059,300.159564818164,-4.8335196228769,153.643171185516,88.7110431371295,140.547630225391,1915642.55377669,4.48241931422423,0.5483630016350576
1500,1.5,0.0014999999999982,0.565876402984884,0.0037539078095064,0.0138307993177706,298.84764049646,-4.83365616166739,153.643875506167,88.702453750718,140.533555758114,1915274.03857185,4.48328177026891,0.5622340566868624
1600,1.6,0.0015999999999981,0.571284771248528,-0.000365159917513,-0.0075267027269988,298.936397357167,-4.83368712615916,153.650605000755,88.712201757532,140.519481290838,1915376.57098364,4.48304177480294,0.5760278886329903
1700,1.7,0.0016999999999985,0.588414976774376,-0.0010964120977575,0.0074978117644384,299.265817913676,-4.83356559453063,153.66029273451,88.7094860865188,140.505406823561,1915246.84794479,4.48334541911018,0.589750757667538
