frame,timestep,strain,n_sample,case,label,soap_distance_from_ref
0,0,0.0,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.0
1,10000,0.01,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.004583408747921694
2,20000,0.0200000000000001,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.008265673068123806
3,30000,0.0299999999999998,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.012578059721982237
4,40000,0.0399999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.016690336956585287
5,50000,0.05,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.02093427950390149
6,60000,0.06,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.025428484817567775
7,70000,0.0700000000000001,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.029796122645326023
8,80000,0.0799999999999998,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.034544551068904535
9,90000,0.0899999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.039707210262971575
10,100000,0.1,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.045136319148060086
11,105000,0.105,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.04820012041594431
12,110000,0.11,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.05086749829650915
13,115000,0.115,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.053725770472909926
14,120000,0.12,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.05673165170111472
15,122000,0.122,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.05765707164602241
16,124000,0.1239999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.05936929140220596
17,126000,0.126,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.06037936964130629
18,128000,0.1279999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.06151763859598889
19,130000,0.1299999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.06282390514279057
20,132000,0.1320000000000001,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.06403989144430457
21,134000,0.1339999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.06521893018256096
22,136000,0.1359999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.0670188241462735
23,138000,0.138,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.06837151042061568
24,140000,0.1399999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.06929762891027322
25,142000,0.142,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.07103113901512043
26,144000,0.144,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.07243660342185797
27,146000,0.1459999999999998,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.07340768922451929
28,148000,0.148,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.07433079455606595
29,150000,0.15,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.07625783790563184
30,152000,0.1519999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.07767041470360327
31,154000,0.154,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.07906448261680737
32,156000,0.1559999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.0787317542199197
33,158000,0.1579999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.04358856748484497
34,160000,0.1600000000000001,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.0174738083368947
35,162000,0.1619999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.014882869782215537
36,164000,0.1640000000000001,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.013247781207448754
37,166000,0.166,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.013378676008985008
38,168000,0.1679999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.013262813884103962
39,170000,0.17,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.012263643297970507
40,172000,0.172,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.01205737799974945
41,174000,0.1739999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.013299139859423706
42,176000,0.176,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.011314458006864349
43,178000,0.178,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.01148997552899251
44,180000,0.18,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.0114684682741466
45,190000,0.1899999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.011951155614749529
46,200000,0.2,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.013086579742912816
47,210000,0.21,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.013338577364616442
48,220000,0.2199999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.014641976491975005
49,230000,0.23,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.014850761661011312
50,240000,0.2399999999999999,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.01651433498489356
51,250000,0.25,1000,108k_1e9,"Ti 108k, 1e9 s^-1",0.016217255997163116
