step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3
0,0,-1.41353475187549e-15,0.264751346838756,-0.14156266176798,-0.139569970370677,299.677467801668,-4.83350970467356,153.666264929514,88.719259422424,140.747842066746,1918837.45965965,4.47495598909223
100,0.1,0.000999999999998475,0.568804706210623,0.131264219492019,0.133773461776722,301.316520786657,-4.83371382895286,153.541067514132,88.6442256012827,140.607094224679,1913736.93745743,4.48688271315214
200,0.2,0.00199999999999877,0.567421220083055,-0.100045548801706,-0.0966707587975518,299.603469464335,-4.83369046555077,153.728377808115,88.7553082938041,140.466346382613,1916552.26699584,4.48029168317856
300,0.3,0.00299999999999866,0.813232124568858,0.0813174029197943,0.0744182618095736,299.678568119056,-4.83373340648422,153.661405643574,88.7189568160382,140.325598540546,1913013.92620701,4.48857850147678
400,0.4,0.00399999999999854,0.867175957409648,-0.0526180492478219,-0.0507073572924816,299.236207223784,-4.83355749183257,153.799827294983,88.7914509976702,140.184850698479,1914379.71746011,4.48537617896977
500,0.5,0.00499999999999843,1.06313143476542,0.0471960099329741,0.0462862946145208,300.184367650685,-4.83353336003719,153.783153665762,88.785267716082,140.044102856412,1912117.15180232,4.490683624748
600,0.6,0.00599999999999873,1.15086051627339,-0.035373882674297,-0.0364480029424316,300.198995106215,-4.8334284181703,153.880344510487,88.8443709783439,139.903355014346,1912675.06546494,4.48937372439223
700,0.7,0.00699999999999861,1.33218758982532,0.0349982053652828,0.0288841269218614,300.058488643171,-4.83332019070517,153.884455348335,88.8486047597916,139.762607172279,1910892.94702454,4.49356056055828
800,0.8,0.0079999999999985,1.43537978720375,-0.0201030909455643,-0.0211904432785811,300.045219955185,-4.83328010767223,153.967074138486,88.8939458946317,139.621859330212,1910968.19280554,4.49338362329941
900,0.9,0.0089999999999988,1.59828845874057,0.0158785402563642,0.0211632760142901,298.738478070125,-4.83324493189549,153.991077102055,88.905826681457,139.481111488145,1909594.61255499,4.49661573495417
1000,1,0.00999999999999868,1.71446102436448,-0.0126445892788654,-0.0109501692578563,298.583579996124,-4.83313978877363,154.056067065954,88.9471144552124,139.340363646079,1909359.07502624,4.4971704351003
1100,1.1,0.0109999999999986,1.86621688045155,0.0132810905331747,0.0133475386114028,298.579164301555,-4.83280945790956,154.091308815092,88.9690293923628,139.199615804012,1908336.83520552,4.49957943681034
1200,1.2,0.0119999999999985,1.99328280586852,-0.00509265183110919,-0.00537772198043083,300.332899442852,-4.832706953749,154.153254581909,89.003249009241,139.058867961945,1907907.20664529,4.50059266629464
1300,1.3,0.0129999999999988,2.14408363021081,0.00358092908934029,0.0105564208529173,299.842740918483,-4.83239978714322,154.201334220896,89.0255268457962,138.918120119878,1907047.81256495,4.50262081822138
1400,1.4,0.0139999999999986,2.27640048346568,-0.00492270959682781,0.0039254328801385,300.378673601396,-4.83231202941561,154.25288900328,89.0583479917946,138.777372277812,1906455.18799948,4.50402046491785
1500,1.5,0.0149999999999985,2.41674838822824,0.00357630624980218,-0.00098728427045444,299.48141739172,-4.83220719982197,154.293099461693,89.0894113221514,138.636624435745,1905682.59748295,4.50584645813522
1600,1.6,0.0159999999999984,2.55263100984889,0.0059552885849039,0.00350344081048747,299.18139650388,-4.83199065897662,154.348669465014,89.1143129343497,138.495876593678,1904965.8588748,4.50754177152045
1700,1.7,0.0169999999999987,2.68868793382323,0.00100384908994524,0.000170572056147555,299.56401162002,-4.8316811539108,154.411258866712,89.14208229447,138.355128751611,1904394.86233566,4.50889327209549
1800,1.8,0.0179999999999986,2.83094141312299,0.00587464196011643,0.00512419271951616,299.620790786276,-4.83130262961246,154.453851775402,89.1746946432362,138.214380909545,1903678.50813365,4.51058996858499
