frame,timestep,strain,other_fraction,fcc_fraction,hcp_fraction,bcc_fraction,mean_ptm_rmsd
0,0,0.0,0.0,0.0,1.0,0.0,0.03850097535594816
1,1000,0.010000000000000083,0.0,0.0,1.0,0.0,0.04043823636187212
2,2000,0.020000000000000167,0.0,0.0,1.0,0.0,0.04342814548854858
3,3000,0.029999999999999846,0.0,0.0,1.0,0.0,0.0469911933066749
4,4000,0.039999999999999925,0.0,0.0,1.0,0.0,0.05111599356740833
5,5000,0.05000000000000001,0.0,0.0,1.0,0.0,0.05572977709036303
6,6000,0.060000000000000095,0.0,0.0,1.0,0.0,0.06078384590170952
7,7000,0.07000000000000017,0.0,0.0,1.0,0.0,0.06614356957361812
8,8000,0.07999999999999985,0.0,0.0,1.0,0.0,0.07189996914752746
9,9000,0.08999999999999994,0.0,0.0,1.0,0.0,0.07781902045949621
10,10000,0.10000000000000002,0.0,0.0,1.0,0.0,0.0840350089398813
11,10500,0.10499999999999995,0.0,0.0,1.0,0.0,0.08719922085625471
12,11000,0.1100000000000001,0.0,0.0,1.0,0.0,0.09042430915361843
13,11500,0.11499999999999994,0.0,0.0,1.0,0.0,0.09371647371808488
14,12000,0.12000000000000008,0.0,0.0,1.0,0.0,0.09706250259260216
15,12200,0.12199999999999996,0.0,0.0,1.0,0.0,0.0984014920488039
16,12400,0.12400000000000004,0.0,0.0,1.0,0.0,0.09973432960196621
17,12600,0.12599999999999992,0.0,0.0,1.0,0.0,0.10110253427176889
18,12800,0.12800000000000009,0.0,0.0,1.0,0.0,0.10248659736651314
19,13000,0.12999999999999998,0.0,0.0,1.0,0.0,0.1038582419599957
20,13200,0.13200000000000003,0.0,0.0,1.0,0.0,0.10524350093862749
21,13400,0.13400000000000012,0.0,0.0,1.0,0.0,0.10659122729928969
22,13600,0.13599999999999998,0.0,0.0,1.0,0.0,0.10800094248084045
23,13800,0.13800000000000007,9.259259259259259e-06,0.0,0.9999907407407408,0.0,0.1094241648658921
24,14000,0.13999999999999996,0.0,0.0,1.0,0.0,0.11084929645613513
25,14200,0.14200000000000002,9.259259259259259e-06,0.0,0.9999907407407408,0.0,0.1122731935663155
26,14400,0.1439999999999999,6.481481481481482e-05,0.0,0.9999351851851852,0.0,0.11367904287762698
27,14600,0.14600000000000007,0.00010185185185185185,0.0,0.9998981481481481,0.0,0.1151229541336602
28,14800,0.14799999999999996,0.0002777777777777778,0.0,0.9997222222222222,0.0,0.11659615988507847
29,15000,0.15000000000000002,0.0005185185185185185,0.0,0.9994814814814815,0.0,0.1180749359723412
30,15200,0.1520000000000001,0.00125,0.0,0.99875,0.0,0.11957721522502882
31,15400,0.15399999999999997,0.0028888888888888888,0.0,0.9971111111111111,0.0,0.1210711775444671
32,15600,0.15600000000000006,0.006083333333333333,0.0,0.9939166666666667,0.0,0.12271934566223576
33,15800,0.15799999999999995,0.011842592592592592,0.0,0.9881574074074074,0.0,0.12429081879239434
34,16000,0.16000000000000011,0.026462962962962962,0.0,0.9735370370370371,0.0,0.12608811140939524
35,16200,0.16199999999999998,0.052037037037037034,0.0,0.947962962962963,0.0,0.12796047612946754
36,16400,0.16400000000000006,0.10137962962962963,0.0,0.8986203703703703,0.0,0.12999570692607826
37,16600,0.16599999999999995,0.16927777777777778,0.0,0.8307222222222223,0.0,0.13151715701858127
38,16800,0.168,0.252,0.0,0.748,0.0,0.13159996973293653
39,17000,0.1700000000000001,0.3275925925925926,0.0,0.6724074074074075,0.0,0.13168607504942217
40,17200,0.17199999999999996,0.39510185185185187,2.777777777777778e-05,0.6048703703703704,0.0,0.1336927622910611
41,17400,0.17400000000000004,0.45499074074074075,5.555555555555556e-05,0.5449166666666667,3.7037037037037037e-05,0.1397907800969219
42,17600,0.17599999999999993,0.5044259259259259,0.0002962962962962963,0.49494444444444446,0.0003333333333333333,0.1476109722100208
43,17800,0.1780000000000001,0.5414814814814815,0.0009074074074074074,0.4555740740740741,0.002037037037037037,0.15489050098614549
44,18000,0.18000000000000008,0.570324074074074,0.002277777777777778,0.4214907407407407,0.005907407407407407,0.1592548076203379
45,19000,0.18999999999999995,0.5883055555555555,0.015203703703703704,0.3716111111111111,0.02487962962962963,0.16058846142971875
46,20000,0.20000000000000004,0.5752037037037037,0.022,0.37205555555555553,0.030740740740740742,0.15784555769101322
47,21000,0.21000000000000002,0.5685370370370371,0.025175925925925925,0.3717037037037037,0.034583333333333334,0.15679777459392144
48,22000,0.22,0.5682407407407407,0.02772222222222222,0.36866666666666664,0.03537037037037037,0.15672665030163255
49,23000,0.2300000000000001,0.570037037037037,0.028148148148148148,0.36644444444444446,0.03537037037037037,0.1569745138894848
50,24000,0.23999999999999996,0.5760092592592593,0.028638888888888887,0.3602962962962963,0.035055555555555555,0.15814920554917558
51,25000,0.25000000000000006,0.5841296296296297,0.029314814814814814,0.3523703703703704,0.034185185185185187,0.1590265739001986
