frame,timestep,strain,n_sample
0,0,0.0,1000
1,1000,0.010000000000000083,1000
2,2000,0.020000000000000167,1000
3,3000,0.029999999999999846,1000
4,4000,0.039999999999999925,1000
5,5000,0.05000000000000001,1000
6,6000,0.060000000000000095,1000
7,7000,0.07000000000000017,1000
8,8000,0.07999999999999985,1000
9,9000,0.08999999999999994,1000
10,10000,0.10000000000000002,1000
11,10500,0.10499999999999995,1000
12,11000,0.1100000000000001,1000
13,11500,0.11499999999999994,1000
14,12000,0.12000000000000008,1000
15,12200,0.12199999999999996,1000
16,12400,0.12400000000000004,1000
17,12600,0.12599999999999992,1000
18,12800,0.12800000000000009,1000
19,13000,0.12999999999999998,1000
20,13200,0.13200000000000003,1000
21,13400,0.13400000000000012,1000
22,13600,0.13599999999999998,1000
23,13800,0.13800000000000007,1000
24,14000,0.13999999999999996,1000
25,14200,0.14200000000000002,1000
26,14400,0.1439999999999999,1000
27,14600,0.14600000000000007,1000
28,14800,0.14799999999999996,1000
29,15000,0.15000000000000002,1000
30,15200,0.1520000000000001,1000
31,15400,0.15399999999999997,1000
32,15600,0.15600000000000006,1000
33,15800,0.15799999999999995,1000
34,16000,0.16000000000000011,1000
35,16200,0.16199999999999998,1000
36,16400,0.16400000000000006,1000
37,16600,0.16599999999999995,1000
38,16800,0.168,1000
39,17000,0.1700000000000001,1000
40,17200,0.17199999999999996,1000
41,17400,0.17400000000000004,1000
42,17600,0.17599999999999993,1000
43,17800,0.1780000000000001,1000
44,18000,0.18000000000000008,1000
45,19000,0.18999999999999995,1000
46,20000,0.20000000000000004,1000
47,21000,0.21000000000000002,1000
48,22000,0.22,1000
49,23000,0.2300000000000001,1000
50,24000,0.23999999999999996,1000
51,25000,0.25000000000000006,1000
